County,Facility_Count,Total_Capacity,ART_Facility_Count,IPD_Facility_Count,FP_Facility_Count,Open_24h_Count,Population_2019,Facilities_Per_100k_People,Beds_Per_1000_People,ART_Clinics_Per_100k_People
Baringo,203,766,4,98,108,21,666763,30.44560061071175,1.148833993487941,0.59991331252634
Bomet,129,1935,5,47,45,19,875689,14.731257329942482,2.209688599491372,0.5709789662768403
Bungoma,166,1250,21,73,85,40,1670570,9.93672818259636,0.7482476041111716,1.2570559749067685
Busia,107,1146,21,51,43,27,893681,11.972952317437654,1.2823367622227617,2.3498317632354273
Elgeyo Marakwet,123,840,5,38,36,9,454480,27.063897201196973,1.848266150325647,1.1001584228128851
Embu,170,1404,15,87,95,17,608599,27.933006791006886,2.3069377373278632,2.464677069794725
Garissa,146,868,7,49,54,40,841353,17.353001653289404,1.0316716051407673,0.8319932299522316
Homa Bay,225,1762,57,113,113,47,1131950,19.877203056672112,1.5566058571491674,5.035558107690269
Isiolo,53,695,2,37,37,9,268002,19.775971821105813,2.5932642293714228,0.7462630875888986
Kajiado,300,1353,18,47,123,65,1117840,26.837472267945323,1.210369999284334,1.6102483360767192
Kakamega,254,2115,42,126,139,39,1867579,13.600495614911068,1.1324822136038153,2.2489008497097043
Kericho,186,1228,13,100,106,24,901777,20.625941890289948,1.3617557334019386,1.4415980891062867
Kiambu,480,3238,26,143,152,87,2417735,19.853292441065708,1.3392700192535576,1.0753866738910591
Kilifi,243,994,27,96,125,48,1453787,16.714965809984545,0.6837315232561578,1.8572184233316158
Kirinyaga,220,874,12,46,67,23,610411,36.041290212659995,1.4318221657211287,1.9658885570541815
Kisii,162,2551,17,113,104,37,1266860,12.78752190455141,2.013640023364855,1.3419004467739135
Kisumu,203,2378,49,103,106,37,1155574,17.56702729552586,2.0578517689044578,4.240316933402794
Kitui,326,1431,16,144,165,58,1136187,28.692459955975554,1.2594757729141417,1.4082188935448126
Kwale,116,461,17,65,51,11,866820,13.382247756166217,0.5318289841028127,1.9611914815071179
Laikipia,118,766,25,23,45,22,518560,22.75532243134835,1.4771675408824436,4.821042887997532
Lamu,44,179,4,18,26,5,143920,30.57254030016676,1.2437465258476932,2.7793218454697053
Machakos,307,2196,24,132,132,35,1421932,21.590343279425458,1.5443776495641142,1.6878444257531302
Makueni,224,1166,26,82,85,48,987653,22.68003033454057,1.1805765790211744,2.6325035209734593
Mandera,76,445,4,22,29,36,867457,8.76124119120602,0.512993727642984,0.46111795743189576
Marsabit,106,600,8,51,52,22,459785,23.0542536185391,1.3049577519927793,1.7399436693237056
Meru,429,1962,13,94,111,24,1545714,27.754164095039574,1.2693163159549568,0.8410352756072599
Migori,211,2060,51,116,128,43,1116436,18.89942638897348,1.8451572683073638,4.568107800178425
Mombasa,313,1710,22,65,105,76,1208333,25.903455421642878,1.415172804185601,1.8206901574317675
Nairobi,917,8352,109,288,272,197,4397073,20.854782260835787,1.8994453810523502,2.4789217736435125
Nakuru,400,2870,37,205,220,69,2162202,18.499659143780274,1.3273505435662347,1.7112184707996756
Nandi,169,641,6,106,91,42,885711,19.080715944591407,0.7237123621587629,0.6774218678553162
Narok,155,1126,40,57,68,29,1157873,13.386614939635004,0.9724728014212266,3.4546103070025813
Nyamira,129,943,9,95,95,18,605576,21.302033105671295,1.5571951332285294,1.4861883562096252
Nyandarua,149,639,10,64,56,18,638289,23.343657810176893,1.0011139154834252,1.5666884436360333
Nyeri,422,1729,14,96,153,10,759164,55.58746199767112,2.2775052557813598,1.8441338103492788
Samburu,72,551,6,30,33,8,310327,23.20133278767236,1.7755464397232597,1.9334443989726966
Siaya,171,882,40,100,100,21,993183,17.217370816858523,0.8880538631853344,4.027455161838252
Taita Taveta,87,439,1,51,12,12,340671,25.537835624400085,1.2886333148404179,0.2935383405103458
Tana River,60,260,8,36,33,13,315943,18.990767321953644,0.8229332506179912,2.532102309593819
Tharaka Nithi,129,872,11,55,71,10,393177,32.8096506153717,2.2178306462483817,2.7977221454968118
Trans Nzoia,150,705,7,63,64,12,990341,15.14629809328302,0.711876010384302,0.7068272443532077
Turkana,146,867,20,57,45,25,926976,15.750138083402376,0.9352992957746479,2.1575531621099144
Uasin Gishu,176,1545,9,114,112,20,1163186,15.130856114155431,1.3282484486573944,0.7737369603829481
Vihiga,85,841,15,51,53,28,590013,14.406462230493226,1.4253923218640945,2.542316864204687
Wajir,130,529,4,44,54,49,781263,16.639723115007364,0.6771087329106843,0.5119914804617651
West Pokot,114,484,2,48,50,9,621241,18.350366443940434,0.7790857332339624,0.3219362534024638
